id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
1481054;Apartamento familiar a estrenar;7924185;Nuria;Sant Martí;el Camp de l'Arpa del Clot;4141136;217834;Entire home/apt;150;3;71;16/8/2024 19:00;56;1;238;9
1481221;APART. CON ENCANTO PLAZA SANTS-FIRA;7922947;Kike & María;Sants-Montjuïc;Sants;4137695;213421;Entire home/apt;150;4;190;29/8/2024 19:00;144;2;132;27
1482060;Beautiful apartment by Pl Catalunya;6166581;Koni;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4138868;217508;Entire home/apt;160;3;755;22/8/2024 19:00;564;4;128;66
1493025;Arty loft with courtyard;1527960;Pere;Sant Martí;el Camp de l'Arpa del Clot;4141507;218391;Entire home/apt;105;7;128;17/8/2024 19:00;97;4;36;23
1497324;"""Menorca Room""  in spacious and cozy apartment";7521925;YayaMaria Sisters;Sarrià-Sant Gervasi;el Putxet i el Farró;4140191;214935;Private room;21;60;10;30/1/2023 19:00;10;3;158;0
1505365;Charming 3 Bdr-2 Bthr in Gracia;8028055;Pere & Carme;Gràcia;el Camp d'en Grassot i Gràcia Nova;414031;216448;Entire home/apt;237;4;373;8/8/2024 19:00;277;1;171;35
1505984;Stylish 3Br Apt with Balcony;4212095;Elio / Wilken;Les Corts;les Corts;4138452;213258;Entire home/apt;150;1;50;2/2/2024 19:00;38;33;54;1
1520042;Glorias Flat: Sagrada Familia 15 min Beach 20 min;8113530;Marcos;Sant Martí;el Clot;4140619;21886;Entire home/apt;200;3;304;1/9/2024 19:00;228;1;151;18
1523790;Apartment views Sagrada Familia;8130969;Mar;Eixample;la Sagrada Família;4,14052E+15;2,17584E+16;Entire home/apt;237;4;232;22/8/2024 19:00;181;5;279;30
1523802;One bedroom apartment with terrace in diputació - You Stylish;8130906;YouStylish;Eixample;la Dreta de l'Eixample;413945701;2,17242E+14;Entire home/apt;223;3;40;20/5/2024 19:00;36;35;87;1
1524083;Apartment near Sagrada Familia;8130969;Mar;Eixample;la Sagrada Família;4140787;217226;Entire home/apt;210;4;123;25/6/2024 19:00;98;5;265;12
1524619;Barcelona - 3 minuts from the beach;5687733;Marta;Sant Martí;el Poblenou;4139871;220255;Entire home/apt;107;5;109;2/6/2024 19:00;82;1;258;10
1524681;Three bedrooms apartment with terrace;6544866;Juan;Eixample;la Dreta de l'Eixample;4139196;217377;Entire home/apt;422;1;166;4/9/2024 19:00;131;12;234;33
1527831;Penthouse Apartment with terrace;6544866;Juan;Eixample;la Dreta de l'Eixample;4139196;217377;Entire home/apt;416;1;153;2/8/2024 19:00;132;12;212;17
1529855;Cozy apt next to Sagrada Familia;8160375;Pep;Eixample;la Sagrada Família;4141014;217507;Entire home/apt;91;1;580;30/8/2024 19:00;433;1;171;72
1530586;Modern & Cozy Apartment in Gràcia;8164313;Jordi;Gràcia;la Vila de Gràcia;4,14064E+15;2,15709E+15;Entire home/apt;85;2;766;18/8/2024 19:00;574;4;90;80
1531051;Spacious and remodeled apartment next to the Metro;8166913;Elisenda;Sant Martí;la Verneda i la Pau;4142373;220177;Entire home/apt;165;3;94;10/8/2024 19:00;72;2;333;23
1540924;Amazing bright room w/private bathroom!BCN Center;8174295;Martha;Eixample;la Dreta de l'Eixample;4139178;215967;Private room;90;31;67;27/8/2024 19:00;66;3;334;14
1554416;Apartamento con vistas al puerto;6992168;Simona;Ciutat Vella;la Barceloneta;4137645;218805;Entire home/apt;194;3;227;20/8/2024 19:00;171;2;289;36
1560631;Disfruta Barcelona, C. Condal 3 a 6 p.;8304893;Anna Maria;Eixample;el Fort Pienc;4139359;21784;Entire home/apt;180;5;143;30/4/2024 19:00;110;3;90;8
1563402;Two bedroom comfort apartment Passeig Taulat;8130906;YouStylish;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;4140272;221174;Entire home/apt;275;1;23;15/7/2024 19:00;20;35;248;2
1563823;3Lujo centro BCN....Sagrada Familia;8320113;Carles;Eixample;la Sagrada Família;4140624;218133;Entire home/apt;250;5;172;27/8/2024 19:00;128;2;304;37
1569123;Fantastic 4 Bedroom and New Kitchen;8344442;Mariana;Eixample;Sant Antoni;4137711;215812;Entire home/apt;378;3;87;17/8/2024 19:00;69;3;262;11
1868652;Barcelona Sants free Wifi;9740673;Francisco Javier;Sants-Montjuïc;la Bordeta;4137076;213929;Entire home/apt;179;3;347;22/8/2024 19:00;270;1;285;49
1882669;CITY BEACH  cerca Centro y playas;9799898;Carlos;Sant Martí;la Vila Olímpica del Poblenou;4139161;219438;Entire home/apt;200;1;88;10/8/2024 19:00;78;3;216;19
1882719;Dream sunsets and pure design in the center;3556337;Alejandro;Eixample;la Dreta de l'Eixample;413909;216272;Entire home/apt;250;1;584;19/8/2024 19:00;450;66;283;62
1888498;Apartment 3 bedrooms next to Sagrada Familia;9822728;Lodging Team;Eixample;la Sagrada Família;4140767;217412;Entire home/apt;219;3;110;29/4/2024 19:00;86;17;225;9
1889121;See Rambla de Catalunya from an Opulent Apartment;4226509;Eva & Darney;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4139583;215517;Entire home/apt;855;4;272;8/8/2024 19:00;211;2;230;41
1899692;+35Y ONLY| BRIGHT FAMILY APT W/ BALCONY FOR 8¤;299462;Stay U-Nique;Gràcia;la Vila de Gràcia;4140184;215619;Entire home/apt;188;3;234;8/8/2024 19:00;186;155;332;23
1899976;Sunny&Cozy bright Attic with terrace/ eco lofting;8699017;Ana;Horta-Guinardó;el Baix Guinardó;4140866;216944;Entire home/apt;139;3;387;29/8/2024 19:00;305;1;297;48
1900055;+35Y ONLY| SPACIOUS APARTMENT | SAGRADA FAMILIA¤;299462;Stay U-Nique;Eixample;la Dreta de l'Eixample;4140162;216979;Entire home/apt;173;3;228;1/9/2024 19:00;193;155;336;36
1903974;Habitación en Barcelona;8587915;Humberto;Eixample;la Nova Esquerra de l'Eixample;4138003;215302;Private room;30;31;58;4/8/2024 19:00;48;1;295;5
1904671;Studio for couples in Les Corts;7099685;Fernando;Les Corts;les Corts;4138348;213119;Entire home/apt;159;2;392;27/8/2024 19:00;302;1;94;37
1908257;Trendy, cool 4BR apartment Eixample;478821;Michael;Eixample;l'Antiga Esquerra de l'Eixample;4138668;21618;Entire home/apt;256;4;189;17/8/2024 19:00;153;1;111;25
1912837;PLAZA ESPAÑA C ARENAS BEAUTIFUL APT. INDEPENDENT;9922976;Isa  Y Juan;Eixample;la Nova Esquerra de l'Eixample;413769;214758;Entire home/apt;138;4;212;7/8/2024 19:00;168;3;11;23
1912881;special flat in paseo de gracia;771458;Rita;Eixample;la Dreta de l'Eixample;4139068;216504;Entire home/apt;350;2;285;9/8/2024 19:00;243;8;340;28
1915617;LetsGoBarcelona Sagrada Famila Penthouse + Terrace;3972936;Willem;Eixample;la Sagrada Família;4140976;217487;Entire home/apt;343;4;66;28/6/2024 19:00;52;17;330;6
